"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_s_thetas","googlesearch_s_thetas","facebook_s_alphas","googlesearch_s_alphas","facebook_s_gammas","googlesearch_s_gammas","cluster","n","top_sol"
"1","1_186_1",0,0.00518366131268397,0.595068095213245,0.929866807953428,0.225982531036251,0.595068095213245,0.40985409047046,0.41802902603651,0.178582958320845,0.355211475766517,0.323868063025616,0.432997795829247,4,10,FALSE
"2","1_187_1",0,0.00798291369977172,0.501407542866864,0.783522959335797,0.196769750002876,0.501407542866864,0.590734128714737,0.201958157921577,0.102051710405133,0.241270632678618,0.534340547881788,0.0206840251056259,4,10,FALSE
"3","1_289_1",0,0.00552172975831178,0.531051371060039,0.798929285332553,0.1975250850006,0.531051371060039,0.828687362720428,0.106944078320877,0,0,0.292842492712057,0.253912753437324,4,10,FALSE
"4","1_313_1",0,0.0033072051140044,0.66237123772992,1.03513255859358,0.24694340684435,0.66237123772992,0.587418460084744,0.266981835542416,0.0994734196477624,0.252391637086943,0.48320184523747,0.138887263438787,4,10,FALSE
"5","1_406_1",0,0.00406880610464087,0.654911398942041,1.00763629180892,0.241341684596637,0.654911398942041,0.840693207470749,0.583102603927313,0.250669711442871,0.546306861572295,0.278954205581962,0.233151541174613,7,7,FALSE
"6","1_423_1",0,0.0107684143083382,0.335855050081446,0.524737129848801,0.143687759422036,0.335855050081446,0.499208681550665,0.447423510338766,0.422471254489801,0.941521899774664,0.338790571768104,0.0816551749257588,7,7,TRUE
"7","1_446_1",0,0.00581495808288218,0.538577091667217,0.81164019310014,0.199026178288285,0.538577091667217,0.337405647785986,0.212587158966702,0.253572619184529,0.636472607578593,0.647710667348205,0.0317563441521971,4,10,FALSE
"8","1_460_1",0,0.00597393051075997,0.412007962613482,0.620037192956156,0.161996922965101,0.412007962613482,0.485146625420956,0.990797129216884,0.367734361605997,0.655891531562717,0.493973469922553,0,7,7,FALSE
"9","1_464_1",0,0.0101702479588542,0.169036588793753,0.300961053508743,0.0569371301192996,0.169036588793753,0.469915666554859,0.029576778459697,0.674594600192483,0.785172832643696,0.45967430369532,0.000951129643850339,4,10,TRUE
"10","1_504_1",0,0.00478051680371169,0.469504720176845,0.732915036294598,0.187265592991767,0.469504720176845,0.615956183165906,0.0346052803036284,0.200239468693588,0.365427593504365,0.480786703448024,0.617639776662688,4,10,FALSE
"11","1_531_1",0,0.00502835864558032,0.212396556236502,0.309052466393247,0.0939524835463528,0.212396556236502,0.477605796121519,0.0235823357627465,0.431645973725422,0.774722402046674,0.61076816329167,0.23415260018464,4,10,FALSE
"12","1_542_1",0,0.0159606790520965,0.130228695305321,0.199976266433134,0.0722221815572499,0.130228695305321,0.509049400494904,0,0.65222963260404,0.834466525986335,0.461533370732763,0.617614157430856,2,18,FALSE
"13","1_547_1",0,0.00938935495148544,0.210990313674313,0.32537138416347,0.103152342803829,0.210990313674313,0.512722914450361,0.136416842267776,0.539442930394186,0.876892344312033,0.558251338326624,0.502027454937518,3,13,FALSE
"14","1_550_1",0,0.00431950370600898,0.432438489090223,0.65191745010565,0.168465633724498,0.432438489090223,0.382459192224398,0.0711503848016891,0.367734361605997,0.815214253247161,0.493973469922553,0.171535763739646,4,10,FALSE
"15","1_570_1",0,0.0020474474680281,0.153000458088279,0.272416452175182,0.0478130043849036,0.153000458088279,0.0135335933331687,0.14148261494504,0.594167884110196,0.704366805592972,0.728867257816136,0.378698047153106,8,8,FALSE
"16","1_571_1",0,0.000991751190928721,0.477400713829284,0.744477051958582,0.190032637637057,0.477400713829284,0.74831772422889,1,0.387141174898158,0.657232499098058,0.332569132982989,0.239941197429796,7,7,FALSE
"17","1_581_1",0,0.000360174954717792,0.495904221757622,0.721157341536679,0.184158482860487,0.495904221757622,0.688708355750413,0.442070607885973,0.423951829470014,0.689498241127742,0.376766966873924,0.965240631874427,5,11,FALSE
"18","1_612_1",0,0.0525289477572766,0.0804373738138965,0.124987046398999,0.0532077245818225,0.0804373738138965,0.48881428786834,0.269193487643436,0.796632340313958,0.800735804132251,0.327798859532521,0.974530997648501,2,18,FALSE
"19","1_619_1",0,0.00168694924995704,0.0939236913651256,0.144057000449658,0.0565875703594965,0.0939236913651256,0.373897798617889,0.358730394403406,0.808102570871387,0.820659329945782,0.737547433948173,0.772638531804251,1,8,FALSE
"20","1_631_1",0,0.0062211142306215,0.477374051308221,0.744441584681049,0.190009181497556,0.477374051308221,0.743822733024584,1,0.373343164447862,0.657232499098058,0.339291286519859,0.239941197429796,7,7,FALSE
"21","1_641_1",0,0.00722776358864095,0.474061330253658,0.716779715042293,0.183723455122707,0.474061330253658,0.641020861054952,0.419474076082513,0.453400353168818,0.715310834777088,0.412125233936964,0.999414364988289,5,11,FALSE
"22","1_642_1",0,0.00431043256844623,0.113341307376648,0.197301800348244,0.0644060981136583,0.113341307376648,0.740662733690786,0.269193487643436,0.796632340313958,0.695806933026622,0.0391744857985593,0.974530997648501,5,11,TRUE
"23","1_672_1",0,0.0925775277784387,0.0713141335922869,0.112232042907778,0.0457899848207316,0.0713141335922869,0.328899033679109,0.269193487643436,0.796632340313958,0.889725854587056,0.327798859532521,0.981963290353638,2,18,FALSE
"24","1_709_1",0,0.0200191796969155,0.0875188180454953,0.13566398262161,0.0519338197673078,0.0875188180454953,0.245965595208291,0.358730394403406,0.808102570871387,0.891851370309626,0.737547433948173,0.778584365989831,1,8,FALSE
"25","1_722_1",0,0.0152472404948589,0.13218960732919,0.193718811165478,0.0856016236267438,0.13218960732919,1,0.286984315586834,0.667160006579676,0.880374401470566,0.0343793397110874,0.746390324299505,5,11,FALSE
"26","1_732_1",0,0.096465109001567,0.0908449247403717,0.165103188044052,0.0419951601152452,0.0908449247403717,0.292900021611657,0.197563962184172,0.796632340313958,0.944979074172081,0,0.871317546172221,6,2,FALSE
"27","1_734_1",0,0.0139151445557161,0.0897184887758593,0.138495523520371,0.0603315372390307,0.0897184887758593,0.647973597420422,0.221270145857975,0.791750830700835,0.708633159430933,0.36802834892415,0.928155510344695,2,18,FALSE
"28","1_746_1",0,0.00598343279913585,0.506228948543827,0.736653768754992,0.186797458238212,0.506228948543827,0.624286558267346,0.329501747341709,0.423102210052059,0.708362990006902,0.445329589565125,0.897084924291618,5,11,FALSE
"29","1_760_1",0,0.0132509829661057,0.182736003726021,0.28099066193309,0.0922761839920107,0.182736003726021,0.303612053349821,0.0711503848016891,0.701676560064444,0.930076754032096,0.0332349220282976,0.825091678398463,6,2,TRUE
"30","1_762_1",0,0.0616259872795815,0.0785858319907657,0.122410389629016,0.0516928186077535,0.0785858319907657,0.456831237088707,0.269193487643436,0.796632340313958,0.818533814223212,0.327798859532521,0.976017456168059,2,18,FALSE
"31","1_763_1",0,0.0100906027304622,0.476075907721826,0.722772884473736,0.183622629393826,0.476075907721826,0.630374444301049,0.943162235668182,0.368232331992826,0.6509241366552,0.753297597156501,0.14164089513547,7,7,FALSE
"32","1_765_1",0,0.00589353301527436,0.451580301876213,0.703919713883192,0.181648040935397,0.451580301876213,0.419252677311934,0.490225451614999,0.41651592313652,0.763243600592501,0.638178985130805,0.648761057462074,3,13,FALSE
"33","1_782_1",0,0.0101607281040971,0.111624062530274,0.169015960630408,0.0676631592491611,0.111624062530274,0.591051430294672,0.286984315586834,0.770737873484463,0.880374401470566,0.269114955518526,0.746390324299505,2,18,FALSE
"34","1_786_1",0,0.0876483803200164,0.0765751863328253,0.120202169451039,0.050019197308757,0.0765751863328253,0.423248576660592,0.299054531947007,0.797193472316572,0.890289138498218,0.311594638691095,0.881699414071355,2,18,FALSE
"35","1_788_1",0,0.0045222246917672,0.174816633019696,0.258011840391689,0.0945420421859542,0.174816633019696,0.659810755099184,0.913880632700371,0.8101027986489,0.689502408221627,0.424058860522392,0.87652077709758,5,11,FALSE
"36","1_799_1",0,0.0162006559375784,0.0905656714258584,0.141000344814255,0.0532632358021922,0.0905656714258584,0.281964607130208,0.358730394403406,0.808102570871387,0.836598150596607,0.984182418445741,0.61112455919326,10,8,FALSE
"37","1_803_1",0,0.0201759791285913,0.103480443219813,0.159667757048906,0.0582831431414603,0.103480443219813,0.0558684625035611,0.239181236236423,0.820088372685369,0.906246714463358,0.689224265545578,0.853369898394848,1,8,FALSE
"38","1_813_1",0,0.0133230554840287,0.0986841606512373,0.17519397980104,0.0477310776652094,0.0986841606512373,0.332891991628766,0.151840098882956,0.486049652791938,0.930322432484007,0.778269134293461,0.996786831490764,3,13,FALSE
"39","1_822_1",0,0.0537134103483202,0.0788583996943337,0.122768161742945,0.0517299019783101,0.0788583996943337,0.456831237088707,0.245304652277509,0.796183434670548,0.818533814223212,0.340762236180808,0.976017456168059,2,18,FALSE
"40","1_833_1",0,0.0208698086462703,0.103227961015319,0.159317780400001,0.0581964758235014,0.103227961015319,0.0558684625035611,0.226548183869205,0.820088372685369,0.906246714463358,0.689224265545578,0.853369898394848,1,8,FALSE
"41","1_835_1",0,0.00153130804673489,0.456385513914299,0.692079516468968,0.177106385646748,0.456385513914299,0.516942541022608,0.737999582349615,0.450618685119978,0.777345838706692,0.379197218628486,0.360556579864915,7,7,FALSE
"42","1_846_1",0,0.0345315770679493,0.08494609400362,0.132481605753389,0.0568951247094523,0.08494609400362,0.576162464984178,0.260715858492995,0.797193472316572,0.802368614664395,0.311594638691095,0.843409857369725,2,18,FALSE
"43","1_847_1",0,0.0138852163754459,0.0856127699483291,0.13375622437368,0.0539660011111378,0.0856127699483291,0.468171149017721,0.208762389234565,0.801244128798117,0.752194125898785,0.349038503340165,0.883294405338023,2,18,FALSE
"44","1_848_1",0,0.00606578791707588,0.159123764483941,0.238395176900837,0.0873592572248412,0.159123764483941,0.659810755099184,0.330699713419823,0.569490378464746,0.689502408221627,0.425472015573374,0.87652077709758,5,11,FALSE
"45","1_850_1",0,0.00128175221971744,0.111128496568275,0.168204706059443,0.0677477359201654,0.111128496568275,0.6239981454432,0.203691695438913,0.701676560064444,0.770956610298057,0.266293396702019,0.834989554227009,2,18,TRUE
"46","1_852_1",0,0.0900747075311547,0.0667832624016347,0.108452169322255,0.0403759265479785,0.0667832624016347,0.204982791266261,0.178632481414526,0.796183434670548,0.923462685328842,0.340762236180808,0.821935776154857,9,11,FALSE
"47","1_854_1",0,0.0349577827777806,0.0760754372116393,0.119323261324839,0.0478248112577665,0.0760754372116393,0.336779766948929,0.402867870102297,0.814008407241899,0.814192916544834,0.991442476451036,0.64222795485841,10,8,FALSE
"48","1_859_1",0,0.0142388411429208,0.0910468679071754,0.14090931848387,0.0537225037365147,0.0910468679071754,0.281964607130208,0.39809692999904,0.808102570871387,0.803663975835771,0.984182418445741,0.674651156506843,10,8,FALSE
"49","1_860_1",0,0.00718692856684682,0.113280963577829,0.201604641924976,0.0535947174079043,0.113280963577829,0.317406514501052,0.154171456826572,0.440781462569811,0.905785274316489,0.638481015920505,0.948300191031399,3,13,FALSE
"50","1_862_1",0,0.0420449119649695,0.094359522631533,0.141880877545478,0.0659976715039885,0.094359522631533,0.739090665439131,0.282326263485336,0.697352702628487,0.897104416130279,0.323936740369612,0.906374266610358,5,11,FALSE
"51","1_871_1",0,0.0064392635585676,0.127106318514123,0.222592305832595,0.06149836616705,0.127106318514123,0.60145717712806,0.349336351999144,0.629157856138266,0.763468885537554,0.308372964672799,0.818834990319532,5,11,FALSE
"52","1_876_1",0,0.0919786616151519,0.0668643052130406,0.11060243152752,0.0382266853742211,0.0668643052130406,0.125573698629056,0.392761986724239,0.889797418213238,0.871480116324158,0.341483199166558,0.721256476625694,9,11,FALSE
"53","1_877_1",0,0.0402353831332607,0.0700457534011575,0.112107499293801,0.0479252189959487,0.0700457534011575,0.468171149017721,0.212818944271087,0.880898183867693,0.752194125898785,0.415234588576117,0.921938286162426,2,18,FALSE
"54","1_880_1",0,0.00481386820282509,0.109506679302973,0.166018883281176,0.0670949725109042,0.109506679302973,0.6239981454432,0.203691695438913,0.702484590160604,0.770956610298057,0.242959318710249,0.834989554227009,2,18,FALSE
"55","1_882_1",0,0.0290054229379852,0.0892900812065981,0.139871721933799,0.0519365027854594,0.0892900812065981,0.243251335633478,0.133013150945617,0.796183434670548,0.898333081784574,0.340762236180808,0.815199533769502,9,11,FALSE
"56","1_884_1",0,0.00644140312265385,0.0911556607101749,0.137815668677272,0.0611510340858511,0.0911556607101749,0.633723505835942,0.402867870102297,0.814816437338059,0.814192916544834,0.968108398583538,0.64222795485841,10,8,TRUE
"57","1_892_1",0,0.0135768129045163,0.0666785660759943,0.109012409850047,0.040248948812816,0.0666785660759943,0.165393500824523,0.312087377967208,0.915418808769928,0.935704087490757,0.902963008932868,0.540975537195598,8,8,FALSE
"58","1_896_1",0,0.00430488396548635,0.502168620878268,0.731957568032049,0.184755522010582,0.502168620878268,0.257402842688833,0.50627338190233,0.419703732276942,0.840160971837858,0.954665279424367,0.661873710730898,3,13,FALSE
"59","1_901_1",0,0.000306947675808653,0.458043833941692,0.665998202867177,0.171872036434771,0.458043833941692,0.319950582031416,0.42352375673425,0.483391601547063,0.859166004088884,0.657896204512219,0.787897946831098,3,13,FALSE
"60","1_903_1",0,0.0107446575043923,0.0816181389839164,0.123853878526814,0.0518466387712885,0.0816181389839164,0.332891991628766,0.151840098882956,0.824173884339014,0.930322432484007,0.693575462396113,0.996786831490764,1,8,FALSE
"61","1_904_1",0,0.00448162308106718,0.384009779876839,0.599714578762526,0.159623302684369,0.384009779876839,0.44419531734083,0.204188405287932,0.413313074729111,0.84349968324506,0.390633365631106,0.261460318408431,4,10,FALSE
"62","1_906_1",0,0.0325520016055046,0.0735584155857511,0.115004747934503,0.0491042252881552,0.0735584155857511,0.423248576660592,0.299054531947007,0.947014959834442,0.890289138498218,0.471407088710917,0.881699414071355,9,11,FALSE
"63","1_907_1",0,0.00968175376718993,0.122611996601267,0.219530744018391,0.0542842866428425,0.122611996601267,0.468171149017721,0.212818944271087,0.651667894444281,0.752194125898785,0.163749175039375,0.921938286162426,2,18,FALSE
"64","1_912_1",0,0.142459160361651,0.0925754851596965,0.167640102307615,0.0373373598348525,0.0925754851596965,0.204982791266261,0.285396398733602,0.796183434670548,0.923462685328842,0.340762236180808,0.59716758500892,9,11,FALSE
"65","1_914_1",0,0.03455168526074,0.0794932910457184,0.121512203285865,0.0570477950362144,0.0794932910457184,0.633723505835942,0.402867870102297,0.88781237690345,0.814192916544834,0.913910276088639,0.64222795485841,10,8,FALSE
"66","1_916_1",0,0.0133550319016677,0.145744378781087,0.252243332975592,0.0660969849609293,0.145744378781087,0.665047808981052,0.377684458902204,0.691827571888407,0.683199877815897,0.303822034011662,0.574116724321426,5,11,FALSE
"67","1_917_1",0,0.00643619668623086,0.261690135713529,0.377746754478895,0.110374653052338,0.261690135713529,0.347638852628377,0.394339420381082,0.557044879902018,0.876961784399995,0.653467474581726,0.621684456793568,3,13,FALSE
"68","1_919_1",0,0.0183118460161242,0.09117539382207,0.142328222833237,0.0533291819146731,0.09117539382207,0.281964607130208,0.358730394403406,0.808102570871387,0.836598150596607,0.984182418445741,0.573224629597259,10,8,FALSE
"69","1_920_1",0,0.00759777999254577,0.105953049793008,0.18925050093747,0.0499831420333057,0.105953049793008,0.319441768612664,0.154171456826572,0.474869573689633,0.905785274316489,0.654013166793876,0.948300191031399,3,13,TRUE
"70","1_922_1",0,0.012782826065223,0.0654663199392426,0.107730663719097,0.0390971177368477,0.0654663199392426,0.132588855349651,0.312087377967208,0.92827585952337,0.935704087490757,0.86778543164151,0.540975537195598,8,8,FALSE
"71","1_923_1",0,0.016467564973802,0.111890758503387,0.169958221455029,0.0663332641600073,0.111890758503387,0.543176854414553,0.226548183869205,0.712501871752549,0.71028414904934,0.386057147762089,0.853369898394848,2,18,FALSE
"72","1_932_1",0,0.0110541012090138,0.11342485118068,0.170680237212734,0.0682622371833867,0.11342485118068,0.591051430294672,0.0195280024032726,0.770737873484463,0.885743781360693,0.269114955518526,0.919823833775039,2,18,FALSE
"73","1_933_1",0,0.0212849543148386,0.0947734116790743,0.142783553480994,0.057750737985825,0.0947734116790743,0.332891991628766,0.151840098882956,0.740892304150209,0.930322432484007,0.693575462396113,0.996786831490764,1,8,FALSE
"74","1_935_1",0,0.00459453879425789,0.114804288957323,0.175604879207164,0.0653781183364964,0.114804288957323,0.409548341860539,0.407727283146669,0.781591868036947,0.811248771088086,0.404644143790874,0.70523048389205,9,11,TRUE
"75","1_936_1",0,0.0192835495823417,0.0916999563941906,0.142385728740713,0.0506803559034381,0.0916999563941906,0.423248576660592,0.365580493242606,0.947014959834442,0.793433690849075,0.471407088710917,0.573586253058439,9,11,FALSE
"76","1_937_1",0,0.0187208800751655,0.125369826881856,0.223909016222042,0.0521187766203579,0.125369826881856,0.382399340990869,0.212818944271087,0.550035867175108,0.750041146420284,0.644541458541793,0.921938286162426,3,13,FALSE
"77","1_942_1",0,0.150771493705669,0.082455492417321,0.148344846572948,0.0356027783979092,0.082455492417321,0.204982791266261,0.243915121463193,0.796183434670548,0.923462685328842,0.340762236180808,0.821935776154857,9,11,FALSE
"78","1_944_1",0,0.00750238140526008,0.0946611629314747,0.145872032223414,0.0573540032343701,0.0946611629314747,0.425862940003286,0.367557889543184,0.809445344164721,0.819366047265592,0.783659626900101,0.64222795485841,10,8,FALSE
"79","1_946_1",0,0.0106931888880841,0.15491410384338,0.221373178846665,0.079271784068564,0.15491410384338,0.665047808981052,0.414355897167841,0.691827571888407,0.683199877815897,0.303822034011662,0.745141702350633,5,11,FALSE
"80","1_947_1",0,0.00310436375322848,0.261878395745882,0.378101567141422,0.110397459382395,0.261878395745882,0.347638852628377,0.394339420381082,0.557044879902018,0.861335735138887,0.653467474581726,0.621684456793568,3,13,FALSE
"81","1_950_1",0,0.0186192008251532,0.113522948252006,0.171519462585046,0.0677010633801458,0.113522948252006,0.563086870047986,0.193787647665158,0.656315162748163,0.797922343024948,0.343837350695537,0.857651681587887,2,18,FALSE
"82","1_951_1",0,0.0114648872227221,0.150193787435524,0.234386171820517,0.0760457480126219,0.150193787435524,0.0536241522163333,0.339704897206191,0.640868841198576,0.974256218629067,0.614502954764689,0.462104125483463,8,8,FALSE
"83","1_952_1",0,0.0287096768604998,0.0532587601393899,0.0913502204272859,0.0313422316346382,0.0532587601393899,0.00703312277289067,0.312087377967208,1,0.975466263234535,0.804740050388585,0.540975537195598,8,8,FALSE
"84","1_966_1",0,0.000204921534253924,0.143347651474349,0.243193515705574,0.0570279251615593,0.143347651474349,0.441054766954625,0.365580493242606,0.518736960885214,0.814209800845899,0.671034686279736,0.745035608119506,3,13,FALSE
"85","1_967_1",0,0.0578574513049241,0.0914826489298789,0.141875156570645,0.0546139219405038,0.0914826489298789,0.346060016728591,0.16272265298503,0.948264664350666,0.752194125898785,0.453482231341404,0.921938286162426,2,18,FALSE
"86","1_969_1",0,0.00795213175546203,0.283667648952083,0.423478453518893,0.120114483892488,0.283667648952083,0.105694317118289,0.568445353027252,0.638417023869178,0.940328291363995,0.395857972349625,0.7077995241369,9,11,FALSE
"87","1_974_1",0,0.0554263274131321,0.0750548676912698,0.120147340555573,0.0457543875172324,0.0750548676912698,0.286506190496376,0.402867870102297,0.813589799539037,0.943198086506941,0.974456022130382,0.478979898097814,10,8,FALSE
"88","1_977_1",0,0.00942511390681139,0.149510496276206,0.24007033033927,0.0520568812687303,0.149510496276206,0.214511018402254,0.336022298059902,0.521027451473918,0.828808118450853,0.483072472281552,0.824693839389522,3,13,FALSE
"89","1_978_1",0,0.00476200664069801,0.0780312741763013,0.127362157266985,0.0446637539320289,0.0780312741763013,0.202717153762403,0.440899384145536,0.998148808579592,0.856285605940213,0.604404139837956,0.420455279641561,8,8,TRUE
"90","1_979_1",0,0.00605258108527926,0.0798025606628571,0.121873537455557,0.0499661505781666,0.0798025606628571,0.281964607130208,0.298475281655419,0.808102570871387,0.790186450077292,0.984182418445741,1,1,8,TRUE
"91","1_980_1",0,1.79349027984021e-05,0.127715950238331,0.23316669219592,0.0548953930500107,0.127715950238331,0.319441768612664,0.404535152987606,0.474869573689633,1,0.654013166793876,0.572559649960143,3,13,FALSE
"92","1_982_1",0,0.0843430216505398,0.0469420021049367,0.0838384323336452,0.0262594139005626,0.0469420021049367,0,0.27477296489518,0.92827585952337,0.973552347616771,0.86778543164151,0.355645141487206,8,8,FALSE
"93","1_985_1",0,0.0164103560086944,0.0802936095660603,0.128654031451659,0.0467100449611278,0.0802936095660603,0.198696012899576,0.296687456564332,0.914954226712758,0.835137453060504,0.642471671565543,0.62982867131992,9,11,FALSE
"94","1_991_1",0,0.0388577141001909,0.0947301864907724,0.14662556470829,0.0558952162713761,0.0947301864907724,0.319950582031416,0.216487567830933,0.721150689545362,0.983931256050817,0.657896204512219,0.68677622508005,1,8,FALSE
"95","1_995_1",0,0.0120427037466408,0.120250798258581,0.17612645011887,0.0620939241750668,0.120250798258581,0.409548341860539,0.407727283146669,0.860179742582503,0.811248771088086,0.620530470939228,0.70523048389205,9,11,FALSE
"96","1_998_1",0,0.0825575926296737,0.066321130920575,0.111297270314311,0.0372923016564159,0.066321130920575,0.14460434292888,0.462866065364411,0.875404759546802,0.979631067437936,1,0.151311583309753,8,8,FALSE
